info,address,occurred_date,recorded_date
心理的瑕疵有  2019年02月：内装リフォーム済,東京都三鷹市下連雀九丁目712 カサーレ三鷹 3階南向き住戸,時期不明,令和元年5月5日
告知事項が御座います,東京都三鷹市下連雀九丁目540 アケボノマンション 202号室,不明,平成27年8月8日
2019年始頃 首吊り自殺,東京都三鷹市下連雀九丁目712カサーレ三鷹309,2019年始頃,令和元年6月13日
シャトー小金井10階 火災で1人死亡,東京都小金井市本町六丁目53,平成15年5月10日,平成26年3月21日
告知事項あり（不動産情報より）,東京都東村山市本町二丁目2040 グレイスマンション 2階,2020年1月現在,令和2年1月24日
心理的瑕疵有,東京都東村山市本町一丁目21 エヴァース 1階102号室,時期不明,平成30年9月1日
火災による死亡,東京都東村山市本町一丁目1728,平成29年1月3日,平成29年1月3日
告知事項あり,東京都東村山市本町四丁目23,令和2年12月25日,令和3年1月5日
エミュー久米川 一階  不動産情報に心理的瑕疵との表記有り,東京都東村山市本町一丁目445,不明,平成27年12月31日
２２２号室は告知事項あり、室内全体の補修工事が行われたらしいが、どのようなことがあったのか不明。年月日は補修完了から逆洗したもの。,東京都東村山市本町一丁目1324,令和2年2月1日,令和2年5月31日
103号室 亡くなって3日ほどたって独居男性発見,東京都東村山市本町一丁目445エミュー久米川,平成27年7月29日,平成27年7月29日
孤高死による死体発見,東京都東村山市本町一丁目61,Ｈ１０年,平成25年2月6日
室内で入居者の方が病死。,東京都東村山市本町一丁目1324,昨年,令和3年6月17日
告知事項あり（不動産情報より）,東京都東村山市栄町三丁目128 久米川マンション 5階,2020年2月現在,令和2年2月14日
えびす荘にて女性練炭自殺,東京都東村山市本町一丁目136,平成28年8月23日,令和2年1月25日
孤高死男性発見。知人による発見。,東京都東村山市本町一丁目61,2016年,平成29年12月22日
112号室 告知事項有,東京都東村山市本町一丁目1324 ワコーレ東村山,令和4年5月27日,令和4年5月28日
独居高齢者の不審死（事件と事故双方の可能性）,東京都東村山市本町一丁目321,2021年夏,令和4年4月5日
死体発見,東京都東村山市本町四丁目4都営東村山本町アパート9号棟4階東から5番目の部屋,令和元年11月29日,令和元年11月30日
208号 6440㎡ 角部屋 告知事項あり,東京都多摩市貝取1493,不明,平成27年2月5日
火災による死亡,東京都多摩市貝取1707,平成25年3月29日,平成25年3月30日
心理的瑕疵,東京都多摩市貝取六丁目1010,2015年頃,平成30年4月13日
死体発見,東京都国立市富士見台二丁目46 UR国立富士見台第2団地25号棟506,平成27年9月22日,平成27年9月23日
友人が自殺しました。,東京都国立市富士見台二丁目464 第2団地5110,平成28年7月10日,平成30年3月10日
遺体発見,東京都国立市富士見台二丁目四六丁目25401,2020年6月１７日,令和2年7月7日
2階上がって左端の部屋、異臭により通報、浴室で男性の腐乱死体発見。体は溶け下半身は白骨化していた模様。男性はパニック障害者で孤高死でした。,東京都国立市富士見台二丁目432,2019年秋,令和2年7月12日
心理的瑕疵有  内装リフォーム済：2018年01月,東京都狛江市和泉本町一丁目363 狛江セントラルハイツ３号棟 8階,時期不明,平成30年5月22日
205号室 過労死,東京都狛江市岩戸北一丁目1210,平成30年3月25日,令和元年10月8日
遺体発見,東京都狛江市和泉本町一丁目1316,平成30年1月28日,平成30年1月29日
15階より 飛び降り自殺,東京都狛江市和泉本町一丁目361 狛江セントラルハイツ1号棟,平成20年6月21日,令和4年9月26日
告知事項あり（不動産情報より）,東京都狛江市岩戸北一丁目813 スカイハイツI 2階,2020年3月現在,令和2年3月2日
302号 遺体搬出,東京都狛江市岩戸北三丁目17,平成29年10月29日,平成29年10月29日
警察が来て、ブルーシートに遺体を乗せてワゴン車で運び出した。事件性の可否は不明。,東京都狛江市岩戸北三丁目196（フラットえびす）,2016２月か３月頃,平成28年6月9日
警官、ヘアーキャップを被った鑑識が来ており事件・事故については不明。,東京都狛江市東和泉二丁目76,平成29年7月23日,平成29年7月23日
絞殺,東京都狛江市和泉本町一丁目24,平成28年5月8日,平成28年5月9日
男性遺体発見,東京都西東京市南町三丁目312,平成19年2月2日,平成26年1月23日
シェア田無 告知事項あり,東京都西東京市田無町二丁目1221,2018,令和3年4月26日
告知事項有,東京都西東京市田無町四丁目265,平成19年11月14日,令和元年12月3日
心理的瑕疵あり,東京都西東京市南町五丁目912,2018年11月ごろ,令和元年9月6日
告知事項あり,東京都西東京市南町四丁目1111,2021年9月時点,令和3年9月7日
火災による死亡,東京都西東京市南町四丁目1710,平成21年12月17日,
無理心中,東京都西東京市向台町三丁目19,平成28年7月22日,平成28年7月23日
薬使用後に７階位の踊り場から飛び降り自殺。  １８歳位の男性,東京都立川市泉町11564,８年位前,平成26年8月23日
告知事項あり,東京都小平市小川東町五丁目一八丁目382 アルカンシエル・セブン 1階,不明,平成29年10月31日
205号室 心理的瑕疵あり,東京都小平市小川東町五丁目18382 アルカンシエルセブン,令和4年10月17日,令和4年10月18日
奥様が自殺。今は取り壊されている,東京都小平市仲町62864,20年くらい前,平成26年1月9日
まだ畑だった頃、灯油をかぶり、焼身自殺  。畳が重ねて置いてありましたが生々しく人の形に黒く焦げていました,東京都小平市小川東町二丁目1808,23年くらい前,平成26年1月9日
202 自殺,東京都小平市学園東町一丁目1017,不明,令和4年11月19日
焼死,東京都小平市学園東町一丁目189,平成24年頃,令和2年9月26日
2階部屋番号不明、心理的瑕疵物件,東京都小平市学園東町一丁目1539 シャトーブルー2階,2016年6月初旬,平成28年6月4日
死体発見,東京都小平市小川町二丁目135631みゆき荘2階,約2年前,平成25年4月17日
室内お亡くなり,東京都羽村市栄町二丁目104 103,202102,令和3年3月10日
絞殺,東京都羽村市栄町二丁目64,令和5年6月18日,令和5年6月20日
一階角部屋自殺,東京都羽村市栄町二丁目118,2018年夏ごろ,平成30年10月8日
駐車スペース横の部屋で住民男性が首吊り自殺,東京都羽村市緑ヶ丘五丁目150,2005,令和4年4月9日
告知事項,東京都羽村市羽中一丁目337,不明,平成29年1月4日
御爺さん老衰し、その後御婆さん転居し転売される。,東京都武蔵村山市本町三丁目605,平成１２年頃,平成29年5月29日
死体発見,東京都武蔵村山市中央一丁目243ハウスオブブーケA 1階,平成24年,平成27年1月18日
家主が駐車場の車の中で服薬自殺,東京都昭島市緑町一丁目8,約10年前,令和2年3月16日
老婆と長女（60代）が暮らしていたが、  生活が困窮していて、長女が餓死したらしい、  老婆は生きていた。,東京都昭島市緑町一丁目9,20191227,令和2年7月13日
火災による死亡,東京都昭島市田中町一丁目349,令和2年9月7日,令和2年9月7日
5階 角部屋 南西向き2LDK（洋室56帖、洋室54帖、LDK142帖） 専有面積5538㎡ 心理的瑕疵有り 定期借家（2年） リノベーション物件 、リフォーム物件,東京都福生市大字福生6931 エアーシリウス,令和4年5月14日,令和4年5月17日
心理的瑕疵有り,東京都福生市志茂2432 ＴＯＰ福生第２ 4階,不明,平成27年3月25日
無職の男性26方から出火し、部屋を半焼。男性は全身やけどなどで死亡した。  5階建てマンション「山本第一コーポ」5階503号室    1987年築  RC造  ＪＲ中央線福生駅 徒歩7分,東京都福生市本町803,平成16年3月14日,平成23年9月21日
孤高死 腐乱死体の噂あり,東京都福生市北田園一丁目121,2015～2016頃,令和元年11月1日
